芸人名
アームストロング
相方不在
アイスクリーム
相席スタート
アイデンティティ
アイロンヘッド
アインシュタイン
青芝金太・紋太
青芝フック・キック
青空
青空一歩・三歩
青空一風・千風
青空球児・好児
青空千夜・一夜
青空東児・西児
サンデージャポン
赤い自転車
赤いタンバリン
あかぼし☆こぼし
暁伸・ミスハワイ
暁照雄・光雄
アキカン
あきげん
秋田一号・二号
秋田Aスケ・Bスケ
アキナ
秋山右楽・左楽
あげは
浅草キッド
朝倉小松崎
あさり・かつお
アジアン
足軽エンペラー
あした順子・ひろし
東和子・西〆子
東京二・京太
東京太・ゆめ子
東京丸・京平
東喜代駒・駒千代
東五九童・松葉蝶子
東文章・こま代
東ヤジロー・キタハチ
遊び屋
アップダウン
あどばるーん
兄貴会
アビリティモンキー
アボカドランドリ
尼神インター
アミ・ボロロク・ホエ・デシェ・ジェテ・チャイ
雨上がり決死隊
アメデオ
アメリカザリガニ
荒川キヨシ・小唄志津子
荒川清丸・玉奴
新谷のぼる・泉かおり
アルカリ三世
アルコ&ピース
アルミカン
あんいーぶん
アンガールズ
アンダーソン
アンダーポイント
アンタッチャブル
アンバランス
あんぺあ
アンリミテッド
EE男
イー☆リャン
庵。
いか天ピーナッツ
EXIT
囲碁将棋
イザベルとベネ
イシバシハザマ
市川歌志・泰子
市川福治・かな江
市原
市村・近藤
いち・もく・さん
一輪亭花蝶・松原勝美
井下好井
今いくよ・くるよ
IMASOKARI
犬の心
イワイガワ
インディアンス
インパルス
ヴィスタ
ヴィレッジ
ういろうプリン
ヴィンテージ
ウーマンラッシュアワー
ヴェートーベン
上木総合研究所
ウエストランド
うえはまだ
浮世亭歌楽・ミナミサザエ
浮世亭三吾・美ユル
浮世亭出羽助・八丈竹幸
浮世亭柳平・とん平
海原お浜・小浜
海原さおり・しおり
海原千里・万里
海原はるか・かなた
海原やすよ・ともこ
浦添ウインドゥ
HTH
エーデルワイス
エガラモガラ
笑組
S×L
エリートヤンキー
エル・カブキ
エルシャラカーニ
LLR
エレファンツ
エレファントジョン
エンジョイワ→クス
えんにち
オアシズ
オオカミ少年
大木こだま・ひかり
大木こだま・ひびき
オーケイ
大阪キッズ
大阪笑ルーム
大瀬ゆめじ・うたじ
大空なんだ・かんだ
大空ヒット・三空ますみ
大空遊平・かほり
オードリー
鳳らん太・ゆう太
"Over Drive"
オープンスペース
オール阪神・巨人
オールディーズ
大脇里村ゼミナール
おかけんた・ゆうた
岡田東洋・小菊
オキシジェン
おぎやはぎ
お先にどうぞ
おしどり
オジンオズボーン
オセロ
乙
鬼ヶ島
おはよう。
おぼん・こぼん
オリエンタルラジオ
俺のバカ
オレンジ
オレンジサンセット
オレンジジュース
女と男
カーニバル
かいわれ
COWCOW
蛙亭
カオポイント
学天即
かくれんぼ
かげべんけい
火災報知器
かしまし娘
鹿島洋々・林正二郎
香島ラッキー・御園セブン
春日三球・照代
ガスマスクガール
かたつむり
カチコチキューピー
かつみ・さゆり
桂喜代楽・愛子
桂竜夫・竜子
カナリア
カノン
ガブ&ぴーち
(株)あまつか笑事
カブトムシ
かまいたち
上方柳次・柳太
カミナリ
GUMシロップ
カメレオン
加茂川かもめ・ちどり
"からし蓮根 (お笑い芸人)"
カラテカ
カリカ
ガリベンズ
ガルウィング
カルパチーノ
ガレッジセール
カンニング
祇園
キクモトスズキ
木田鶴夫・亀夫
キッチン!
きつね
機動戦士リウンズ
騎兵隊
キャイ〜ン
キャラメルマシーン
ギャロップ
キャン×キャン
牛肉オレンヂ
麒麟
キングオブコメディ
キングコング
銀次・政二
銀シャリ
金属バット
キンデルダイク
キンチャク
金時
ギンナナ
クールズ
クールポコ
クッキーズ
クマムシ
熊本キリン
くらげライダー
グランジ
くりぃむしちゅー
"Creative routine work"
栗友一休・三休
ぐりんぴーす
クルクルキューティクル
クレオパトラ
"GLOBAL STANDARD"
クロスバー直撃
クロスパンチ
クロンモロン
クワバタオハラ
けいいちけいじ
KBBY
ケツカッチン
ゲッターズ
けもの道
ケルン
ケン坊田中・松田キビキビ
号泣
コウテイ
幸助・福助
ゴーギャン職人
ゴールドラッシュ
こきざみインディアン
ココリコ
五條家菊二・松枝
小僧
5番6番
こぶし
コマンダンテ
米粒写経
コメディNo.1
こりゃめでてーな
コロコロチキチキペッパーズ
コロムビア・トップ・ライト
コンパス
こんらんチョップ
サイドエイト
西都ハロー・ジロー
サイドワインダー
サウンドコピー
酒井くにお・とおる
サカイスト
さかなDVD
佐賀家喜昇・旭芳子
坂道コロンブス
さがみ三太・良太
さがみ良太・いずみ
ザギンデシースルー
ザクマシンガン
桜
桜川末子・松鶴家千代八
桜川ぴん助・美代鶴
桜前線
桜津多子・桜山梅夫
さくらんぼブービー
ザ☆健康ボーイズ
ザ・ゴリラバンド
サジタリ
ザ・社長ズ
ザ・たっち
座長座長
座長・社長
ザ・ツイスターズ
ザ・パンチ
サバンナ
ザ・プラン9
360°モンキーズ
ザブングル
SABOTEN
ザ・ぼんち
さまぁ〜ず
サミットクラブ
サムライトリオ
"さや香 (お笑い芸人)"
ザ・やなせふなおか
さゆみ・ひかり
さらば青春の光
334
三四郎
さんだあず
サンドウィッチマン
三人奴
三拍子
3フランシスコ
サンミラノ
三遊亭小円・木村栄子
GAG少年楽団
シーソーゲーム
シーランド
シェイクダウン
シェーン
ジェシカ
ジェットコースター
ジェット★キッズ
ジェニーゴーゴー
シカゴ実業
ジグザグ
獅子てんや・瀬戸わんや
磁石
静
しずる
次長課長
十返舎亀造・菊次
品川庄司
侍PANG
しましまんず
島田紳助・松本竜介
島田夫妻
島田洋之介・今喜多代
志摩八郎・辰巳柳子
清水圭・和泉修
〆さば
霜降り明星
シャイニングスターズ
ジャウー
ジャックモンデシー
シャバダバ
じゃぴょん
しゃもじ
ジャリズム
ジャルジャル
"ジャングルポケット (お笑いトリオ)"
シャンプーハット
上海ドール
自由気まま
ジューシーズ
18KIN
ジュリエッタ
ジョイマン
笑撃戦隊
ジョウサンズ
正司敏江・玲児
ショウショウ
上々軍団
湘南デストラーデ
少年少女
笑ハンティング
昭和のいる・こいる
松鶴家光晴・浮世亭夢若
松鶴家千代八・八千代
松鶴家千代若・千代菊
シンクタンク
シンクロック
新宿カウボーイ
人生幸朗・生恵幸子
シンデレラ
シンデレラエキスプレス
シンドバット
しんのすけとシャン
スウィング
スーパーマラドーナ
スープレックス
すきっぱマーチ
スクラッチ
スカイラブハリケーン
姿三平・浅草四郎
杉ひろし・まり
すず風にゃん子・金魚
すずらん
スタンバイ
すっとんきょ
すっとんトリオ
ストリーク
ストロング・マイマイズ
砂川菊丸・照代
砂川捨丸・中村春代
スパイク
スパナペンチ
スパローズ
Span!
スピードワゴン
スマイル
スリムクラブ
青春ダーツ
青春バニラ
せーじ・けーすけ
セーラーズ
世界少年
セカンドステージ
背中バキボキズ
セバスチャン
セブンbyセブン
蝉しぐれクラシック
ゼミナールキッチン
セルライトスパ
閃光花火
せんたくばさみ
象さんのポット
ソーセージ
底ぬけAIR-LINE
ソフィア
ソフトアタッチメント
ソラシド
そんぐば〜ど
ダークホース
ダイアン
大好物
ダイタク
だいなお
ダイノジ
台風11号
太平サブロー・シロー
タイヘイトリオ
タイムトラベラー
タイムボム
タイムマシーン3号
たいよう
ダウンタウン
タカアンドトシ
たかしひでき
高僧・野々村
隆の家栄竜・万竜
高峰和才・洋才
宝家和楽・和喜美
滝音
たくろう
立花幸福・林美津江
橘ミノル・双葉みどり
橘家菊春・太郎
ダチョウ倶楽部
ダックスープ
立山センター・オーバー
タナからイケダ
たのしい人生
田畑藤本
Wあやの
Wエース
Wエンジン
Wけんじ
ダブルコセガレ
Wコロン
ダブルダッチ
Wどりぶる
ダブルネーム
Wモアモア
Wヤング
タボン
玉川カルテット
ダメジン
タモンズ
タリキ
ダルメシアン
弾丸ジャッキー
たんぽぽ
TEAM-0
"TEAM BANANA"
チーモンチョーチュウ
チェリーズ
チェリーの果実
チェリー☆パイ
チェリブロ
千家松人形・お鯉
チキチキジョニー
チキンジョージ
千歳家今次・今若
千歳家歳男・松鶴家団之助
千鳥
知念
千葉チューセッツ
チャイルドマシーン
ちゃっきり娘
チャド・マレーン
ちゃらんぽらん
チューインガム
中央塗装
チュートリアル
チョイチャック
超新塾
チョコレートプラネット
チョップリン
チング
ツインクル
ツインゴリラ
ツインズ
つーから
ツースリー
ツーツーレロレロ
ツートライブ
ツーナッカン
ツービート
月亭かなめ・ぜんじろう
辻イト子・まがる
つばさ・きよし
つるせんねん
ティーアップ
TIM
TKO
ティーチ
D-BARN
Take2
テキサスコンビ
凸凹一番・二番
デコボコ団
デスペラード
テツandトモ
鉄筋コンクリート
デニス
デニッシュ
天狗
テングリ
テンゲン
天竺鼠
デンジャラス
天津
テンダラー
東京ダイナマイト
東京ホテイソン
トゥナイト
都営2号
とうふ
東洋朝日丸・日出丸
トータルテンボス
どーよ
都上英二・東喜美江
どきどきキャンプ
Dr.ハインリッヒ
トクトコ
トット
轟一蝶・美代子
ドドん
兎に角
飛石連休
どぶろっく
トミーズ
トム・ブラウン
友池中林
トライアングル
トラッシュスター
ドランクドラゴン
どりあんず
ドリーマーズ
ドリンク
ドレッドノート
ドレミ倶楽部
トレンディエンジェル
とろサーモン
どんきほ〜て
DonDokoDon
とんねるず
トンファー
どんぴしゃ
ナイツ
ナインティナイン
中川家
中田カウス・ボタン
中田ダイマル・ラケット
中田伸江・伸児
中田はじめ・圭祐
中山礼子・八多恵太
仲良しコンビ
流れ星
名古屋テバサキ
なすなかにし
なちのん
浪花家市松・芳子
南海キャンディーズ
南国姉妹
ナンダーMAX
なんばよこやま
ニードル
新山えつや・ひでや
新山ノリロー・トリロー
新山ひでや・やすこ
肉体関係
西川のりお・上方よしお
西川ヒノデ・サクラ
錦鯉
西中サーキット
2700
2丁拳銃
日刊ナンセンス
ニックス
ニッシーマーシー
ニッチェ
ニッポンの社長
にのうらご
煮物女子
ニブンノゴ!
日本チャップリン・梅廼家ウグイス
ニューヨーク
ニレンジャー
にわとりとたまご
ネイビーズアフロ
"ネプチューン (お笑いトリオ)"
ノスタルジック
のみくい処
のろし
ノンキーズ
"NON STYLE"
ノンスモーキン
VERSUS
バース
パート2
ばーん
ハイエナ
ハイキングウォーキング
ばいそん
Hi-Hi
ハイヒール
バウンサー
博多華丸・大吉
馬鹿よ貴方は
麦芽
爆笑問題
バズーカルーム
パステルモグラ
はだか電球
八福亭
初恋クロマニヨン
X-GUN
パックンマックン
パッチワーク
バッドボーイズ
バッファロー吾郎
鼻エンジン
はな寛太・いま寛大
花菱〆吉・花柳貞奴
ババリア
パプア。
バブルガム・ブラザーズ
ハマカーン
浜口浜村
はまこ・テラこ
ハム
林田五郎・柳家雪江
林家染団治・小川雅子
林家ライス・カレー子
ハライチ
ハリガネロック
はりけ〜んず
ハリセンボン
春風こうた・ふくた
バルチック艦隊
晴乃チック・タック
晴乃ピーチク・パーチク
春やすこ・けいこ
ハレルヤ
ばろん
パンクブーブー
パンクラチオン
パンサー
パンダスティックランマー
パンダユナイテッド
はんにゃ
B&B
ビーグル38
Bコース
ピース
ピーナッツパン
ピーマンズスタンダード
ヒカリゴケ
ビコーン!
ヒガシ逢ウサカ
髭男爵
非常階段
ビタミンS
ヒダリウマ
ぴっかり高木とR藤本
ビッキーズ
ビックスモールン
ビッグブラザーズ
ビックボーイズ
ぴのっきを
響
130R
100W
ひよしなかよし
ヒヨシンガシ
平川タロー・ジロー
ビリジアン
ピンクダック
ファイヤーダンス
ファイヤーバード
ファミリーレストラン
フィットネス
プー&ムー
フースーヤ
ブーブートレイン
風藤松原
ふうらいぼう。
フキノタイタン
藤崎マーケット
FUJIWARA
二葉由紀子・羽田たか志
ぷち観音
ブックセンター
フットボールアワー
船仁のるか・喜和そるか
文の家恋しく・たより
文の家都枝・七五三
芙蓉愛花・松島洋子
ブラザース
プラス・マイナス
ブラック・ボックス
ブラックマヨネーズ
ブランケット
フラワーショウ
フリーク・ザ・グッド
フリータイム
プリマ旦那
プリンセス金魚
ブルーリバー
古川一郎・二三子
ブルマ
ブレーメン
フレンチブルドッグ
ブロードキャスト!!
プロペラZ
フロントストーリー
フロントページ
平成ノブシコブシ
ペイパービュウ
ベイブルース
平和ラッパ・梅乃ハッパ
平和ラッパ・日佐丸
北京ゲンジ
ヘッドライト
ペナルティ
紅しょうが
へびいちご
ベリー・ベリー
ぺんぎんナッツ
変ホ長調
"POISON GIRL BAND"
鳳仙花
ほうらい
ボーイフレンド
ぽ〜くちょっぷ
ホーム・チーム
星セント・ルイス
ポケットパラダイス
ホタテーズ
ほたるゲンジ
ポップコーン正一・正二
BODY
ポテト少年団
ポテトフライ
ボブキャッツ
ぼれろ
ボルサリーノ
ボルトボルズ
ホロッコ
ホンキートンク
ボンクラーズ
ホンジャマカ
本田兄妹
本田恵一・玉木貞子
-4℃
前田犬千代・竹千代
前田一球・写楽
まえだまえだ
マキシマムパーパーサム
マシンガンズ
ますだおかだ
マヂカルラブリー
松口VS小林
マッサジル
マッチポンプ
マッドドックス
まつトミ
松葉家奴・松葉家喜久奴
Mahha
マッピー
マテンロウ
漫画トリオ
マンキンタン
マンゴスティン
マンションズ
MANZAI-C
マンブルゴッチ
マンマミーヤ
三日月マンハッタン
ミキ
ミサイルマン
水玉れっぷう隊
ミスマッチグルメ
ミスワカサ・島ひろし
ミスワカナ・玉松一郎
道和多比良・大津おせん
見取り図
南の風（風力3）
ミモ・ファルス
宮川青丸・とん子
宮川左近ショー
宮川大助・花子
宮下草薙
宮田陽・昇
宮田洋容・布地由起江
ミヤ蝶美・蝶子
美山なをみ・白川珍児
みゆきゼミ
ミラマリア
ミルククラウン
ミルクボーイ
Mint姉弟
めいどのみやげ
メイプル超合金
メインストリート
メカドッグ
メッセンジャー
めっちぇん
メメ
メロディー
メンバメイコボルスミ11
モストデンジャラス
もっこすファイヤー
元・無免許ライダー
ものいい
モラリスト
森三中
もろ多玉枝・広多成三郎
モンキーチャック
モンスターエンジン
モンスターズ
モンチャック
ヤーレンズ
やさしいズ
矢敷真帆・梨紗
矢じるし
やすえ・やすよ
安田大サーカス
ヤツる
柳エンド・水町千代子
矢野・兵動
ヤポンスキー
山崎正三・都家文路
山マウンテン
ヤンキース
ヤング
ヤングキャベツ
U字工事
ゆう太だい介
夕凪ロマネコンティ
ゆったり感
ゆにばーす
夢路いとし・喜味こいし
夢乃タンゴ・園ひとみ
ゆりありく
横浜ヘテロ
横山アラン・ドロン
横山エンタツ・花菱アチャコ
横山たかし・ひろし
横山ホットブラザーズ
横山やすし・西川きよし
四次元ナイフ
吉田茂・東みつ子
吉田たち
四千頭身
ライセンス
ライム・ライト
ラインバック
ラヴドライブ
楽天
ラニーノーズ
ラバーガール
ラブアンドピース
ラブカップル
ラフ・コントロール
ラブミーテンダー
LaLaLa
ランチランチ
ランディーズ
ランナァズハイ
りあるキッズ
リーガル千太・万吉
リーガル天才・秀才
リトルドンファン
理不人
リミテッド
流行亭歌麿・やちよ
リンシャンカイホウ
ルーキー新一
ルーキー清二
平和ラッパ・梅乃ハッパ
ルート33
ルームメイト
ルネ
レアレア
レイカーズ
レイザーラモン
レギュラー
レツゴー三匹
レッドクリスマス
レム色
レモンティー
恋愛小説家
蓮華
連戦姉妹
ロケット団
ロザン
ロシアンモンキー
ロデオボックス
ロマンチックセクシー
ロングコートダディ
ロンドンブーツ1号2号
Y&Y
若井けいじ・えいじ
若井小づえ・みどり
若井はんじ・けんじ
若井ぼん・はやと
若井りき・ゆうき
若月
若葉トリオ
我が家
和牛
ワタルwithオカン
笑い飯
わらふぢなるお
ワンインチ
ワンハイスクール
ワンワンニャンニャン
